a_id,cont_id,cont_adv_id,cont_own_id,cont_prod_id,cont_date,cont_amt,b_id,adv_id,adv_name,c_id,clt_id,clt_name,e_id,prod_id,prod_name,d_id,cal_date,week_day,bus_day
a_0,B8335208,827925,C58722,p700,2021-06-30,125000,b_2,827925,Adv_2,c_121,C58722,Client_121,e_6,p700,Prod_G,d_546,2021-06-30,2,1
a_1,A1754955,752235,C54547,p600,2020-08-28,924000,b_21,752235,Adv_21,c_87,C54547,Client_87,e_5,p600,Prod_F,d_240,2020-08-28,4,1
a_2,C1938551,749684,C54652,p400,2022-07-08,431000,b_84,749684,Adv_84,c_181,C54652,Client_181,e_3,p400,Prod_D,d_919,2022-07-08,4,1
a_3,A2602024,518825,C57890,p400,2020-12-21,307000,b_13,518825,Adv_13,c_4,C57890,Client_4,e_3,p400,Prod_D,d_355,2020-12-21,0,1
a_4,A2487467,611220,C57138,p400,2022-10-13,897000,b_86,611220,Adv_86,c_195,C57138,Client_195,e_3,p400,Prod_D,d_1016,2022-10-13,3,1
a_4,A2487467,611220,C57138,p400,2022-10-13,897000,b_86,611220,Adv_86,c_230,C57138,Client_230,e_3,p400,Prod_D,d_1016,2022-10-13,3,1
a_5,A2846676,155067,C52179,p100,2020-07-04,947000,b_33,155067,Adv_33,c_218,C52179,Client_218,e_0,p100,Prod_A,d_185,2020-07-04,5,0
a_5,A2846676,155067,C52179,p100,2020-07-04,947000,b_33,155067,Adv_33,c_279,C52179,Client_279,e_0,p100,Prod_A,d_185,2020-07-04,5,0
a_6,D6162669,102634,C57947,p200,2022-11-10,108000,b_67,102634,Adv_67,c_159,C57947,Client_159,e_1,p200,Prod_B,d_1044,2022-11-10,3,1
a_7,A6607238,174144,C53426,p500,2021-08-20,875000,b_43,174144,Adv_43,c_10,C53426,Client_10,e_4,p500,Prod_E,d_597,2021-08-20,4,1
a_8,C8242567,723674,C58791,p600,2022-06-15,495000,b_36,723674,Adv_36,c_139,C58791,Client_139,e_5,p600,Prod_F,d_896,2022-06-15,2,1
a_9,B8276304,643935,C53593,p200,2020-11-23,729000,b_77,643935,Adv_77,c_295,C53593,Client_295,e_1,p200,Prod_B,d_327,2020-11-23,0,1
a_10,F7631007,556744,C56358,p100,2020-01-14,642000,b_83,556744,Adv_83,c_253,C56358,Client_253,e_0,p100,Prod_A,d_13,2020-01-14,1,1
a_11,A8809542,119942,C59290,p500,2021-02-10,372000,b_32,119942,Adv_32,c_80,C59290,Client_80,e_4,p500,Prod_E,d_406,2021-02-10,2,1
a_12,B3630158,673595,C53813,p500,2020-07-29,580000,b_56,673595,Adv_56,c_133,C53813,Client_133,e_4,p500,Prod_E,d_210,2020-07-29,2,1
a_13,E8165205,611303,C55356,p500,2021-05-30,336000,b_53,611303,Adv_53,c_141,C55356,Client_141,e_4,p500,Prod_E,d_515,2021-05-30,6,0
a_14,A1648609,518825,C56302,p600,2021-09-25,781000,b_13,518825,Adv_13,c_136,C56302,Client_136,e_5,p600,Prod_F,d_633,2021-09-25,5,0
a_15,D4873094,143682,C50642,p200,2020-10-24,539000,b_81,143682,Adv_81,c_38,C50642,Client_38,e_1,p200,Prod_B,d_297,2020-10-24,5,0
a_16,B4386592,197769,C56392,p100,2020-07-30,480000,b_69,197769,Adv_69,c_151,C56392,Client_151,e_0,p100,Prod_A,d_211,2020-07-30,3,1
a_17,A7356056,207340,C50642,p100,2021-05-08,510000,b_27,207340,Adv_27,c_38,C50642,Client_38,e_0,p100,Prod_A,d_493,2021-05-08,5,0
a_18,E6117666,592435,C53113,p600,2020-11-16,400000,b_52,592435,Adv_52,c_172,C53113,Client_172,e_5,p600,Prod_F,d_320,2020-11-16,0,1
a_19,A2889491,248812,C53156,p500,2020-11-29,416000,b_82,248812,Adv_82,c_43,C53156,Client_43,e_4,p500,Prod_E,d_333,2020-11-29,6,0
